Gene,F303_0ppm,F306_2ppm,F318_0ppm,F320_2ppm,F325_0ppm,F328_0ppm,F332_0ppm,F336_2ppm,F341_2ppm,F342_2ppm
Cnr1,18,8,3,3,0,0,0,3,0,2
Cnr2,0,1,0,1,0,2,1,0,0,2
Cnrip1,7,13,7,7,9,11,0,2,3,1
Cnst,7654,5988,8650,8335,9003,10135,10257,9039,8277,8244
Cntd1,468,309,437,381,470,428,458,343,331,319
Cntf,0,0,0,0,0,0,0,0,0,0
Cntfr,0,0,0,0,0,2,0,0,0,0
Cntln,582,484,478,560,408,553,506,463,414,411
Cntn1,633,489,633,680,606,863,692,643,534,715
Cntn2,408,389,608,468,439,479,487,412,415,458
Cntn3,71,25,84,46,48,97,43,42,88,67
Cntn4,752,603,591,564,410,593,564,485,464,431
Cntn5,66,23,61,43,85,48,45,61,28,39
Cntn6,631,381,782,789,706,809,760,657,580,716
Cntnap1,88,66,78,77,68,88,88,75,66,61
Cntnap2,59,43,74,56,82,71,98,60,58,57
Cntnap3,171,125,222,162,207,192,266,177,185,179
Cntnap4,35,33,37,28,19,40,29,33,44,38
Cntnap5a,11,7,10,13,21,9,11,24,9,9
Cntnap5b,4,0,8,4,3,2,0,0,0,2
Cntnap5c,20,15,28,33,21,18,36,21,20,21
Cntrob,843,678,924,897,851,919,900,876,832,778
Coa3,346,199,224,215,162,141,142,116,48,72
Coa4,77,62,87,52,89,97,110,72,54,55
Coa5,682,653,449,518,469,411,433,383,283,326
Coa6,148,79,131,103,138,90,113,69,66,58
Coasy,722,605,810,552,692,587,687,613,493,506
Cobl,629,456,474,725,670,474,576,364,318,495
Cobll1,3948,3262,4700,4824,4836,5432,4985,4768,4538,4710
Coch,45,25,4,4,2,4,1,29,0,1
Cog1,755,644,688,655,725,820,725,668,576,526
Cog2,445,463,202,236,122,134,71,124,24,56
Cog3,1419,1079,1447,1446,1368,1591,1534,1484,1145,1226
Cog4,2407,2051,2687,2616,3093,2701,2771,2570,2041,2114
Cog5,613,503,502,619,533,534,608,566,460,459
Cog6,1412,1154,1537,1274,1543,1367,1370,1273,1100,1097
Cog7,359,244,207,231,206,222,235,178,155,153
Cog8,1201,999,1305,1149,1431,1301,1405,1254,1039,1057
Coil,199,178,207,106,126,152,141,120,85,65
